Year,Year_Ceremony,Ceremony,Category_Globes,Film,Nominee,Win_Globe,Song_Title,Country
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,The Brutalist,Adrien Brody,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,A Complete Unknown,Timothée Chalamet,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Queer,Daniel Craig,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Sing Sing,Colman Domingo,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,Conclave,Ralph Fiennes,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actor,The Apprentice,Sebastian Stan,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,I'm Still Here,Fernanda Torres,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,The Last Showgirl,Pamela Anderson,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Maria,Angelina Jolie,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Babygirl,Nicole Kidman,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,The Room Next Door,Tilda Swinton,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Drama – Actress,Lee,Kate Winslet,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,A Different Man,Sebastian Stan,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,A Real Pain,Jesse Eisenberg,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Heretic,Hugh Grant,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Saturday Night,Gabriel LaBelle,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Kinds of Kindness,Jesse Plemons,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actor,Hit Man,Glen Powell,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,The Substance,Demi Moore,TRUE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Nightbitch,Amy Adams,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Wicked,Cynthia Erivo,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Emilia Pérez,Karla Sofía Gascón,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Anora,Mikey Madison,FALSE,,
2024,2025,82,Best Performance in a Motion Picture – Musical or Comedy – Actress,Challengers,Zendaya,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,A Real Pain,Kieran Culkin,TRUE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,Anora,Yura Borisov,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,A Complete Unknown,Edward Norton,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,The Brutalist,Guy Pearce,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,The Apprentice,Jeremy Strong,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actor,Gladiator II,Denzel Washington,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Emilia Pérez,Zoe Saldaña,TRUE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Emilia Pérez,Selena Gomez,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Wicked,Ariana Grande,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,The Brutalist,Felicity Jones,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,The Substance,Margaret Qualley,FALSE,,
2024,2025,82,Best Supporting Performance in a Motion Picture – Supporting Actress,Conclave,Isabella Rossellini,FALSE,,
2024,2025,82,Best Director,The Brutalist,Brady Corbet,TRUE,,
2024,2025,82,Best Director,Emilia Pérez,Jacques Audiard,FALSE,,
2024,2025,82,Best Director,Anora,Sean Baker,FALSE,,
2024,2025,82,Best Director,Conclave,Edward Berger,FALSE,,
2024,2025,82,Best Director,The Substance,Coralie Fargeat,FALSE,,
2024,2025,82,Best Director,All We Imagine as Light,Payal Kapadia,FALSE,,
2024,2025,82,Best Screenplay,Conclave,Peter Straughan,TRUE,,
2024,2025,82,Best Screenplay,Emilia Pérez,Jacques Audiard,FALSE,,
2024,2025,82,Best Screenplay,Anora,Sean Baker,FALSE,,
2024,2025,82,Best Screenplay,The Brutalist,Brady Corbet,FALSE,,
2024,2025,82,Best Screenplay,The Brutalist,Mona Fastvold,FALSE,,
2024,2025,82,Best Screenplay,A Real Pain,Jesse Eisenberg,FALSE,,
2024,2025,82,Best Screenplay,The Substance,Coralie Fargeat,FALSE,,
2024,2025,82,Best Original Score,Challengers,Trent Reznor,TRUE,,
2024,2025,82,Best Original Score,Challengers,Atticus Ross,TRUE,,
2024,2025,82,Best Original Score,Conclave,Volker Bertelmann,FALSE,,
2024,2025,82,Best Original Score,The Brutalist,Daniel Blumberg,FALSE,,
2024,2025,82,Best Original Score,The Wild Robot,Kris Bowers,FALSE,,
2024,2025,82,Best Original Score,Emilia Pérez,Clément Ducol,FALSE,,
2024,2025,82,Best Original Score,Emilia Pérez,Camille,FALSE,,
2024,2025,82,Best Original Score,Dune: Part Two,Hans Zimmer,FALSE,,
2024,2025,82,Best Original Song,Emilia Pérez,Clément Ducol,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,Emilia Pérez,Camille,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,Emilia Pérez,Jacques Audiard,TRUE,"""El Mal""",
2024,2025,82,Best Original Song,The Last Showgirl,Andrew Wyatt,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,The Last Showgirl,Miley Cyrus,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,The Last Showgirl,Lykke Li,FALSE,"""Beautiful That Way""",
2024,2025,82,Best Original Song,Challengers,Trent Reznor,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Challengers,Atticus Ross,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Challengers,Luca Guadagnino,FALSE,"""Compress / Repress""",
2024,2025,82,Best Original Song,Better Man,Robbie Williams,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,Better Man,Freddy Wexler,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,Better Man,Sacha Skarbek,FALSE,"""Forbidden Road""",
2024,2025,82,Best Original Song,The Wild Robot,Delacey,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Jordan K. Johnson,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Stefan Johnson,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Maren Morris,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Michael Pollack,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,The Wild Robot,Ali Tamposi,FALSE,"""Kiss the Sky""",
2024,2025,82,Best Original Song,Emilia Pérez,Clément Ducol,FALSE,"""Mi Camino""",
2024,2025,82,Best Original Song,Emilia Pérez,Camille,FALSE,"""Mi Camino""",
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,Akim Tamiroff,TRUE,,
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,Katina Paxinou,TRUE,,
1943,1944,1,Actress In A Leading Role,The Song Of Bernadette,Jennifer Jones,TRUE,,
1943,1944,1,Best Director - Motion Picture,The Song Of Bernadette,Henry King,TRUE,,
1943,1944,1,Picture,The Song Of Bernadette,,TRUE,,
1943,1944,1,Actor In A Leading Role,Watch On The Rhine,Paul Lukas,TRUE,,
1944,1945,2,Actress In A Leading Role,Gaslight,Ingrid Bergman,TRUE,,
1944,1945,2,Best Director - Motion Picture,Going My Way,Leo McCarey,TRUE,,
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Going My Way,Barry Fitzgerald,TRUE,,
1944,1945,2,Picture,Going My Way,,TRUE,,
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mrs. Parkington,Agnes Moorehead,TRUE,,
1944,1945,2,Actor In A Leading Role,Wilson,Alexander Knox,TRUE,,
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,A Medal For Benny,J. Carroll Naish,TRUE,,
1945,1946,3,Actress In A Leading Role,The Bells of St. Mary's,Ingrid Bergman,TRUE,,
1945,1946,3,Promoting International Understanding,The House I Live In,Frank Sinatra,TRUE,,
1945,1946,3,Actor In A Leading Role,The Lost Weekend,Ray Milland,TRUE,,
1945,1946,3,Best Director - Motion Picture,The Lost Weekend,Billy Wilder,TRUE,,
1945,1946,3,Picture,The Lost Weekend,,TRUE,,
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Picture of Dorian Gray,Angela Lansbury,TRUE,,
1946,1947,4,Best Director - Motion Picture,It's A Wonderful Life,Frank Capra,TRUE,,
1946,1947,4,Actress In A Leading Role,Sister Kenny,Rosalind Russell,TRUE,,
1946,1947,4,Picture,The Best Years Of Our Lives,,TRUE,,
1946,1947,4,Special Achievement Award,The Best Years Of Our Lives,Harold Russell,FALSE,,
1946,1947,4,Promoting International Understanding,The Last Chance,Leopold Lindtberg,TRUE,,Switzerland
1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Razor's Edge,Clifton Webb,TRUE,,
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Razor's Edge,Anne Baxter,TRUE,,
1946,1947,4,Actor In A Leading Role,The Yearling,Gregory Peck,TRUE,,
1947,1948,5,Actor In A Leading Role,A Double Life,Ronald Colman,TRUE,,
1947,1948,5,Special Achievement Award,Bambi,Walt Disney,FALSE,,
1947,1948,5,Cinematography,Black Narcissus,Jack Cardiff,TRUE,,
1947,1948,5,Best Director - Motion Picture,Gentleman's Agreement,Elia Kazan,TRUE,,
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gentleman's Agreement,Celeste Holm,TRUE,,
1947,1948,5,Juvenile Performance,Gentleman's Agreement,Dean Stockwell,TRUE,,
1947,1948,5,Picture,Gentleman's Agreement,,TRUE,,
1947,1948,5,New Star Of The Year - Actor,Kiss Of Death,Richard Widmark,TRUE,,
1947,1948,5,Best Original Score - Motion Picture,Life With Father,Max Steiner,TRUE,,
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Miracle On 34th Street,Edmund Gwenn,TRUE,,
1947,1948,5,Best Screenplay - Motion Picture,Miracle On 34th Street,George Seaton,TRUE,,
1947,1948,5,Actress In A Leading Role,Mourning Becomes Electra,Rosalind Russell,TRUE,,
1947,1948,5,New Star Of The Year - Actress,That Hagen Girl,Lois Maxwell,TRUE,,
1948,1949,6,Actor In A Leading Role,Hamlet,Laurence Olivier,TRUE,,
1948,1949,6,Foreign Film - English Language,Hamlet,Laurence Olivier,TRUE,,United Kingdom
1948,1949,6,Best Performance by an Actress in a Supporting Role in any Motion Picture,I Remember Mama,Ellen Corby,TRUE,,
1948,1949,6,Actress In A Leading Role,Johnny Belinda,Jane Wyman,TRUE,,
1948,1949,6,Picture,Johnny Belinda,,TRUE,,
1948,1949,6,Cinematography,The Pearl,Gabriel Figueroa,TRUE,,
1948,1949,6,Best Original Score - Motion Picture,The Red Shoes,Brian Easdale,TRUE,,
1948,1949,6,Best Screenplay - Motion Picture,The Search,Richard Schweizer,TRUE,,
1948,1949,6,Juvenile Performance,The Search,Ivan Jandl,TRUE,,
1948,1949,6,Promoting International Understanding,The Search,Fred Zinnemann,TRUE,,
1948,1949,6,Best Director - Motion Picture,The Treasure of the Sierra Madre,John Huston,TRUE,,
1948,1949,6,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Treasure of the Sierra Madre,Walter Huston,TRUE,,
1948,1949,6,Picture,The Treasure of the Sierra Madre,,TRUE,,
1949,1950,7,Actor In A Leading Role,All The King's Men,Broderick Crawford,TRUE,,
1949,1950,7,Best Director - Motion Picture,All The King's Men,Robert Rossen,TRUE,,
1949,1950,7,Best Original Score - Motion Picture,All The King's Men,George Duning,FALSE,,
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,All The King's Men,Mercedes McCambridge,TRUE,,
1949,1950,7,Cinematography,All The King's Men,Burnett Guffey,FALSE,,
1949,1950,7,New Star Of The Year - Actress,All The King's Men,Mercedes McCambridge,TRUE,,
1949,1950,7,Picture,All The King's Men,,TRUE,,
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,Battleground,James Whitmore,TRUE,,
1949,1950,7,Best Screenplay - Motion Picture,Battleground,Robert Pirosh,TRUE,,
1949,1950,7,Cinematography,Champion,Franz F. Planer,TRUE,,
1949,1950,7,New Star Of The Year - Actress,Champion,Ruth Roman,FALSE,,
1949,1950,7,Picture,Come To The Stable,,FALSE,,
1949,1950,7,Actress In A Leading Role,"Edward, My Son",Deborah Kerr,FALSE,,
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,Intruder In The Dust,David Brian,FALSE,,
1949,1950,7,New Star Of The Year - Actor,Intruder In The Dust,Juano Hernandez,FALSE,,
1949,1950,7,Promoting International Understanding,Monsieur Vincent,Maurice Cloche,FALSE,,
1949,1950,7,Outstanding Use Of Color,On The Town,,FALSE,,
1949,1950,7,Best Screenplay - Motion Picture,Rope of Sand,Walter Doniger,FALSE,,
1949,1950,7,Outstanding Use Of Color,The Adventures of Ichabod and Mr. Toad,,TRUE,,
1949,1950,7,Best Motion Picture - Foreign Language,The Bicycle Thief,Vittorio De Sica,TRUE,,Italy
1949,1950,7,Best Motion Picture - Foreign Language,The Fallen Idol,Carol Reed,FALSE,,United Kingdom
1949,1950,7,Actor In A Leading Role,The Hasty Heart,Richard Todd,FALSE,,
1949,1950,7,New Star Of The Year - Actor,The Hasty Heart,Richard Todd,TRUE,,
1949,1950,7,Promoting International Understanding,The Hasty Heart,Vincent Sherman,TRUE,,
1949,1950,7,Actress In A Leading Role,The Heiress,Olivia de Havilland,TRUE,,
1949,1950,7,Best Director - Motion Picture,The Heiress,William Wyler,FALSE,,
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Heiress,Miriam Hopkins,FALSE,,
1949,1950,7,Best Original Score - Motion Picture,The Inspector General,Johnny Green,TRUE,,
1950,1951,8,Best Original Score - Motion Picture,A Life Of Her Own,Bronislau Kaper,FALSE,,
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adam's Rib,Judy Holliday,FALSE,,
1950,1951,8,Best Director - Motion Picture,All About Eve,Joseph L. Mankiewicz,FALSE,,
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,All About Eve,George Sanders,FALSE,,
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,All About Eve,Bette Davis,FALSE,,
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,All About Eve,Thelma Ritter,FALSE,,
1950,1951,8,Best Screenplay - Motion Picture,All About Eve,Joseph L. Mankiewicz,TRUE,,
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Annie Get Your Gun,Betty Hutton,FALSE,,
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Born Yesterday,Judy Holliday,TRUE,,
1950,1951,8,Best Director - Motion Picture,Born Yesterday,George Cukor,FALSE,,
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Born Yesterday,Judy Holliday,FALSE,,
1950,1951,8,Picture,Born Yesterday,,FALSE,,
1950,1951,8,Cinematography - Color,Broken Arrow,Ernest Palmer,FALSE,,
1950,1951,8,Promoting International Understanding,Broken Arrow,Delmer Daves,TRUE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Cyrano de Bergerac,José Ferrer,TRUE,,
1950,1951,8,Cinematography - Black And White,Cyrano de Bergerac,Franz F. Planer,TRUE,,
1950,1951,8,New Star Of The Year,Cyrano de Bergerac,Mala Powers,FALSE,,
1950,1951,8,Picture,Cyrano de Bergerac,,FALSE,,
1950,1951,8,Best Original Score - Motion Picture,Destination Moon,Leith Stevens,FALSE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Harvey,James Stewart,FALSE,,
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Harvey,Josephine Hull,TRUE,,
1950,1951,8,Cinematography - Color,King Solomon's Mines,Robert L. Surtees,TRUE,,
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Louisa,Spring Byington,FALSE,,
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mister 880,Edmund Gwenn,TRUE,,
1950,1951,8,Cinematography - Color,Samson and Delilah,George Barnes,FALSE,,
1950,1951,8,Best Director - Motion Picture,Sunset Boulevard,Billy Wilder,TRUE,,
1950,1951,8,Best Original Score - Motion Picture,Sunset Boulevard,Franz Waxman,TRUE,,
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sunset Boulevard,Erich von Stroheim,FALSE,,
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Sunset Boulevard,Gloria Swanson,TRUE,,
1950,1951,8,Best Screenplay - Motion Picture,Sunset Boulevard,Charles Brackett,FALSE,,
1950,1951,8,Best Screenplay - Motion Picture,Sunset Boulevard,Billy Wilder,FALSE,,
1950,1951,8,Best Screenplay - Motion Picture,Sunset Boulevard,D. M. Marshman Jr.,FALSE,,
1950,1951,8,Cinematography - Black And White,Sunset Boulevard,John F. Seitz,FALSE,,
1950,1951,8,Picture,Sunset Boulevard,,TRUE,,
1950,1951,8,New Star Of The Year,Tea For Two,Gene Nelson,TRUE,,
1950,1951,8,Best Director - Motion Picture,The Asphalt Jungle,John Huston,FALSE,,
1950,1951,8,Best Screenplay - Motion Picture,The Asphalt Jungle,Ben Maddow,FALSE,,
1950,1951,8,Best Screenplay - Motion Picture,The Asphalt Jungle,John Huston,FALSE,,
1950,1951,8,Cinematography - Black And White,The Asphalt Jungle,Harold Rosson,FALSE,,
1950,1951,8,Promoting International Understanding,The Big Lift,George Seaton,FALSE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,The Magnificent Yankee,Louis Calhern,FALSE,,
1950,1951,8,Promoting International Understanding,The Next Voice You Hear...,William A. Wellman,FALSE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Sin Of Harold Diddlebock,Harold Lloyd,FALSE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Three Little Words,Fred Astaire,TRUE,,
1950,1951,8,New Star Of The Year,Three Little Words,Debbie Reynolds,FALSE,,
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,When Willie Comes Marching Home,Dan Dailey,FALSE,,
1950,1951,8,Henrietta Award (World Film Favorites),,Gregory Peck,TRUE,,
1950,1951,8,Henrietta Award (World Film Favorites),,Jane Wyman,TRUE,,
1951,1952,9,Best Director - Motion Picture,A Place In The Sun,George Stevens,FALSE,,
1951,1952,9,Best Motion Picture - Drama,A Place In The Sun,,TRUE,,
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,A Place In The Sun,Shelley Winters,FALSE,,
1951,1952,9,Cinematography - Black And White,A Place In The Sun,William C. Mellor,FALSE,,
1951,1952,9,Best Motion Picture - Drama,A Streetcar Named Desire,,FALSE,,
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,A Streetcar Named Desire,Vivien Leigh,FALSE,,
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,A Streetcar Named Desire,Kim Hunter,TRUE,,
1951,1952,9,Best Director - Motion Picture,An American In Paris,Vincente Minnelli,FALSE,,
1951,1952,9,Best Motion Picture - Musical or Comedy,An American In Paris,,TRUE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,An American In Paris,Gene Kelly,FALSE,,
1951,1952,9,Best Motion Picture - Drama,Bright Victory,,FALSE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Bright Victory,Arthur Kennedy,FALSE,,
1951,1952,9,Best Screenplay - Motion Picture,Bright Victory,Robert Buckner,TRUE,,
1951,1952,9,Best Director - Motion Picture,Death of a Salesman,Laslo Benedek,TRUE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Death of a Salesman,Fredric March,TRUE,,
1951,1952,9,Cinematography - Black And White,Death of a Salesman,Franz F. Planer,TRUE,,
1951,1952,9,New Star Of The Year - Actor,Death of a Salesman,Kevin McCarthy,TRUE,,
1951,1952,9,Cinematography - Black And White,Decision Before Dawn,Franz F. Planer,FALSE,,
1951,1952,9,Best Motion Picture - Drama,Detective Story,,FALSE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Detective Story,Kirk Douglas,FALSE,,
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Detective Story,Lee Grant,FALSE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Here Comes The Groom,Bing Crosby,FALSE,,
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,On The Riviera,Danny Kaye,TRUE,,
1951,1952,9,Special Achievement Award,Pictura,Alain Resnais,FALSE,,
1951,1952,9,Best Motion Picture - Drama,Quo Vadis?,,FALSE,,
1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,Quo Vadis?,Peter Ustinov,TRUE,,
1951,1952,9,Cinematography - Color,Quo Vadis?,William V. Skall,TRUE,,
1951,1952,9,Best Original Score - Motion Picture,September Affair,Victor Young,TRUE,,
1951,1952,9,New Star Of The Year - Actress,Teresa,Pier Angeli,TRUE,,
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,The Blue Veil,Jane Wyman,TRUE,,
1951,1952,9,Best Original Score - Motion Picture,The Day The Earth Stood Still,Bernard Herrmann,FALSE,,
1951,1952,9,Promoting International Understanding,The Day The Earth Stood Still,Robert Wise,TRUE,,
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Mating Season,Thelma Ritter,FALSE,,
1951,1952,9,Best Original Score - Motion Picture,The Well,Dimitri Tiomkin,FALSE,,
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,Too Young To Kiss,June Allyson,TRUE,,
1951,1952,9,Henrietta Award (World Film Favorite),,Alan Ladd,TRUE,,
1951,1952,9,Henrietta Award (World Film Favorite),,Esther Williams,TRUE,,
1952,1953,10,Best Screenplay - Motion Picture,5 Fingers,Michael Wilson,TRUE,,
1952,1953,10,Promoting International Understanding,Anything Can Happen,George Seaton,TRUE,,
1952,1953,10,Promoting International Understanding,Assignment: Paris,Robert Parrish,FALSE,,
1952,1953,10,Best Motion Picture - Drama,"Come Back, Little Sheba",,FALSE,,
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,"Come Back, Little Sheba",Shirley Booth,TRUE,,
1952,1953,10,Best Motion Picture - Musical or Comedy,Hans Christian Andersen,,FALSE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hans Christian Andersen,Danny Kaye,FALSE,,
1952,1953,10,Best Motion Picture - Drama,High Noon,,FALSE,,
1952,1953,10,Best Original Score - Motion Picture,High Noon,Dimitri Tiomkin,TRUE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,High Noon,Gary Cooper,TRUE,,
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,High Noon,Katy Jurado,TRUE,,
1952,1953,10,Best Screenplay - Motion Picture,High Noon,Carl Foreman,FALSE,,
1952,1953,10,Cinematography - Black And White,High Noon,Floyd Crosby,TRUE,,
1952,1953,10,New Star Of The Year - Actress,High Noon,Katy Jurado,FALSE,,
1952,1953,10,Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,,FALSE,,
1952,1953,10,Best Original Score - Motion Picture,Ivanhoe,Miklos Rozsa,FALSE,,
1952,1953,10,Promoting International Understanding,Ivanhoe,Richard Thorpe,FALSE,,
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Monkey Business,Ginger Rogers,FALSE,,
1952,1953,10,New Star Of The Year - Actress,Moulin Rouge,Colette Marchand,TRUE,,
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,My Cousin Rachel,Olivia de Havilland,FALSE,,
1952,1953,10,New Star Of The Year - Actor,My Cousin Rachel,Richard Burton,TRUE,,
1952,1953,10,Juvenile Performance,My Pal Gus,George Winslow,FALSE,,
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,My Six Convicts,Millard Mitchell,TRUE,,
1952,1953,10,Juvenile Performance,Navajo,Francis Kee Teller,FALSE,,
1952,1953,10,Special Achievement Award,Navajo,Francis Kee Teller,FALSE,,
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Pat and Mike,Katharine Hepburn,FALSE,,
1952,1953,10,New Star Of The Year - Actor,Pat and Mike,Aldo Ray,FALSE,,
1952,1953,10,Best Motion Picture - Musical or Comedy,Singin' in the Rain,,FALSE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Singin' in the Rain,Donald O'Connor,TRUE,,
1952,1953,10,Best Motion Picture - Musical or Comedy,Star and Stripes Forever,,FALSE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Stars and Stripes Forever,Clifton Webb,FALSE,,
1952,1953,10,New Star Of The Year - Actor,Stars and Stripes Forever,Robert Wagner,FALSE,,
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Sudden Fear,Joan Crawford,FALSE,,
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Bad and The Beautiful,Gilbert Roland,FALSE,,
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Bad and The Beautiful,Gloria Grahame,FALSE,,
1952,1953,10,Cinematography - Black And White,The Four Poster,Hal Mohr,FALSE,,
1952,1953,10,Best Director - Motion Picture,The Greatest Show On Earth,Cecil B. deMille,TRUE,,
1952,1953,10,Best Motion Picture - Drama,The Greatest Show On Earth,,TRUE,,
1952,1953,10,Cinematography - Color,The Greatest Show On Earth,George Barnes,TRUE,,
1952,1953,10,Best Director - Motion Picture,The Happy Time,Richard Fleischer,FALSE,,
1952,1953,10,Best Motion Picture - Drama,The Happy Time,,FALSE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,The Happy Time,Charles Boyer,FALSE,,
1952,1953,10,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Happy Time,Kurt Kasznar,FALSE,,
1952,1953,10,Juvenile Performance,The Member of the Wedding,Brandon de Wilde,TRUE,,
1952,1953,10,Best Director - Motion Picture,The Quiet Man,John Ford,FALSE,,
1952,1953,10,Best Original Score - Motion Picture,The Quiet Man,Victor Young,FALSE,,
1952,1953,10,Best Motion Picture - Drama,The Thief,,FALSE,,
1952,1953,10,Best Performance by an Actor in a Motion Picture - Drama,The Thief,Ray Milland,FALSE,,
1952,1953,10,Best Screenplay - Motion Picture,The Thief,Clarence Greene,FALSE,,
1952,1953,10,Cinematography - Black And White,The Thief,Sam Leavitt,FALSE,,
1952,1953,10,New Star Of The Year - Actress,The Thief,Rita Gam,FALSE,,
1952,1953,10,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viva Zapata!,Mildred Dunnock,FALSE,,
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,With a Song in My Heart,Susan Hayward,TRUE,,
